timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1696292813674,-0.1171875,-1.0044556,0.1449585,1.328125,0.171875,1.4375,260
1696292813714,-0.16723633,-0.9758911,0.117370605,1.09375,0.5625,0.71875,261
1696292813754,-0.107421875,-0.9956665,0.097351074,-3.203125,-1.953125,-0.296875,262
1696292813794,-0.14111328,-0.9627075,0.13616943,-1.53125,-2.734375,0.25,263
1696292813834,-0.1574707,-0.99542236,0.13494873,1.953125,-1.09375,1.703125,264
1696292813874,-0.07714844,-1.0081177,0.09246826,-0.3125,-1.09375,-0.28125,265
1696292813914,-0.1459961,-0.99176025,0.13201904,-1.765625,-1.171875,-0.625,266
1696292813954,-0.13378906,-0.97247314,0.1564331,-0.109375,-1.75,0.140625,267
1696292813994,-0.12695312,-0.97125244,0.14935303,-2.609375,-2.28125,0.265625,268
1696292814034,-0.14794922,-1.0039673,0.13421631,-3.046875,-3.90625,0.3125,269
1696292814074,-0.16577148,-1.0127563,0.15032959,-4.78125,-3.96875,0.65625,270
1696292814114,-0.14819336,-1.0183716,0.13543701,-5.515625,-2.90625,-0.265625,271
1696292814154,-0.14428711,-0.98883057,0.12860107,-3.46875,-0.734375,-2.21875,272
1696292814194,-0.115234375,-0.94415283,0.15716553,2.484375,-1.4375,-0.9375,273
1696292814234,-0.099121094,-1.0064087,0.038269043,-1.765625,-1.734375,-0.40625,274
1696292814274,0.008056641,-0.95635986,0.14398193,11.046875,1.59375,0.171875,275
1696292814314,-0.1706543,-0.82598877,0.16326904,-11.484375,-4.359375,4.765625,276
1696292814354,-0.2475586,-1.0930786,0.23626709,-3.1875,0.890625,1.25,277
1696292814394,-0.17016602,-1.065979,0.1786499,-1.0,-2.3125,-0.3125,278
1696292814434,-0.08984375,-0.9668579,0.04071045,-7.359375,-8.0,-4.578125,279
1696292814474,-0.12768555,-0.88946533,0.15081787,-4.484375,1.421875,-4.359375,280
1696292814514,-0.23754883,-0.9512329,0.2345581,0.0625,-3.21875,1.5625,281
1696292814554,-0.16381836,-1.0322876,0.14251709,-3.953125,-1.90625,-0.78125,282
1696292814594,-0.10644531,-1.0105591,0.12176514,0.390625,-3.09375,-0.8125,283
1696292814634,-0.13378906,-0.95147705,0.1708374,-2.921875,-2.4375,-3.609375,284
1696292814674,-0.17456055,-0.9968872,0.1852417,2.609375,-1.515625,0.21875,285
1696292814714,-0.15185547,-0.96588135,0.15740967,-2.453125,-1.96875,-0.796875,286
1696292814754,-0.15722656,-1.0112915,0.14202881,-1.0625,-0.84375,-1.28125,287
1696292814794,-0.20385742,-0.97125244,0.17425537,4.953125,0.21875,-0.40625,288
1696292814834,-0.1640625,-1.0193481,0.15130615,1.875,1.296875,2.234375,289
1696292814874,-0.1640625,-0.9866333,0.17181396,5.71875,-0.875,1.515625,290
1696292814914,-0.17236328,-0.99713135,0.17474365,-0.140625,-1.40625,0.40625,291
1696292814954,-0.1508789,-0.99542236,0.10345459,-5.25,-2.78125,0.40625,292
1696292814994,-0.16821289,-0.9841919,0.117614746,-1.90625,-4.25,3.296875,293
1696292815034,-0.055908203,-1.050354,-0.113586426,9.59375,-8.09375,6.21875,294
1696292815074,0.013671875,-0.91973877,0.08441162,5.265625,18.734375,4.984375,295
1696292815114,-0.25756836,-0.8779907,0.25701904,-7.859375,-1.359375,3.765625,296
1696292815154,-0.2487793,-1.128479,0.27850342,0.53125,2.6875,6.375,297
1696292815194,-0.13354492,-0.97540283,0.10858154,-4.109375,-8.921875,-4.0,298
1696292815234,-0.030273438,-0.9854126,0.04559326,-7.90625,-1.953125,-2.578125,299
1696292815274,-0.13476562,-0.95562744,0.17840576,-4.4375,-1.6875,-5.21875,300
1696292815314,-0.12695312,-0.9607544,0.19012451,-2.359375,-2.109375,-1.078125,301
1696292815354,-0.15039062,-1.0420532,0.14276123,-5.96875,-2.84375,1.15625,302
1696292815394,-0.107910156,-0.96759033,0.15863037,1.84375,-0.484375,-0.625,303
1696292815434,-0.1274414,-0.9475708,0.15203857,-3.953125,-1.796875,-0.09375,304
1696292815474,-0.171875,-0.987854,0.2453003,0.921875,0.53125,3.625,305
1696292815514,-0.24291992,-1.0432739,0.18499756,2.90625,1.0625,7.140625,306
1696292815554,-0.14379883,-0.97247314,0.14251709,5.53125,0.046875,3.171875,307
1696292815594,-0.07495117,-0.9678345,0.14105225,7.046875,3.5,1.53125,308
1696292815634,-0.10839844,-1.0039673,0.15057373,5.65625,0.046875,0.15625,309
1696292815674,-0.10205078,-1.0476685,0.08294678,-4.296875,-4.984375,-2.6875,310
1696292815714,-0.087646484,-1.0215454,0.07904053,3.71875,-4.078125,3.328125,311
1696292815754,-0.040283203,-0.96881104,0.01776123,13.796875,-1.21875,4.296875,312
1696292815794,0.00024414062,-0.9697876,0.039733887,2.109375,3.078125,1.34375,313
1696292815834,-0.07885742,-0.90802,0.13616943,-5.546875,7.328125,-2.421875,314
1696292815874,-0.26708984,-1.0708618,0.23065186,-0.484375,-2.375,4.890625,315
1696292815914,-0.13208008,-1.0315552,0.1930542,-0.234375,-5.8125,-0.75,316
1696292815954,-0.09082031,-0.9273071,0.07269287,2.578125,-4.09375,3.5625,317
1696292815994,-0.15112305,-0.99224854,0.070007324,-2.984375,-1.78125,0.734375,318
1696292816034,-0.03491211,-0.9961548,0.08831787,-2.15625,-2.34375,-2.546875,319
1696292816074,-0.076171875,-0.9998169,0.10223389,-1.09375,1.140625,-0.59375,320
1696292816114,-0.06762695,-0.9944458,0.09979248,-0.34375,0.125,-2.8125,321
1696292816154,-0.09838867,-0.9854126,0.10760498,-2.109375,-1.984375,-0.734375,322
1696292816194,-0.09082031,-0.9963989,0.10467529,-1.109375,0.53125,-2.609375,323
1696292816234,-0.10229492,-0.9805298,0.09832764,-5.984375,-1.46875,-3.375,324
1696292816274,-0.16040039,-1.0122681,0.13616943,-3.515625,-1.453125,-3.828125,325
1696292816314,-0.14770508,-0.989563,0.109069824,-3.515625,-0.125,-3.296875,326
1696292816354,-0.1315918,-0.973938,0.14202881,-3.078125,0.953125,-5.546875,327
1696292816394,-0.15893555,-0.99664307,0.13616943,-5.734375,1.640625,-4.234375,328
1696292816434,-0.16137695,-0.98638916,0.13275146,-3.46875,-0.484375,-4.15625,329
1696292816474,-0.21289062,-0.97906494,0.2267456,-0.1875,0.546875,-0.796875,351
1696292816514,-0.1586914,-0.9380493,0.18060303,-1.234375,0.59375,-3.3125,352
1696292816554,-0.1665039,-0.9849243,0.19866943,-3.96875,-3.21875,-3.203125,353
1696292816594,-0.17260742,-0.9898071,0.24847412,2.78125,-3.03125,-3.859375,354
1696292816634,-0.18310547,-0.9690552,0.24700928,-0.875,-6.25,-2.84375,355
1696292816674,-0.16479492,-0.9729614,0.2477417,-2.53125,-10.828125,-0.53125,356
1696292816714,-0.23632812,-0.986145,0.16204834,2.296875,-5.109375,0.28125,357
1696292816754,-0.26879883,-0.9951782,0.16253662,9.859375,0.1875,4.5625,358
1696292816794,-0.17749023,-0.9800415,0.09661865,6.5625,-1.4375,3.8125,359
1696292816834,-0.09863281,-1.0120239,-0.07305908,2.734375,7.609375,3.453125,360
1696292816874,-0.043945312,-0.86968994,-0.0029907227,-22.21875,-2.28125,0.140625,361
